SI2024G00000024;101;03/07/2024;1;MJD;0;4182000;Completed;Paid;"1-10002";0;2
2407120;102;04/07/2024;2;BGI;0;799150;Completed;Paid;"1-10002";60;1
2407188;103;08/07/2024;2;BGI;0;2191050;Completed;Paid;"1-10002";60;5
03622/2024;104;11/07/2024;4;PJB;0;501498;Completed;Paid;"1-10002";30;10
03660/2024;105;12/07/2024;4;PJB;0;939248,5;Completed;Paid;"1-10002";30;5
2407318;106;11/07/2024;2;BGI;0;707300;Completed;Paid;"1-10002";60;1
240713-001;107;13/07/2024;12;MPA;0;250000;Completed;Paid;"1-10002";0;1
2407397;108;15/07/2024;2;BGI;0;1712700;Completed;Paid;"1-10002";60;3
03705/2024;109;16/07/2024;4;PJB;0;1275747,01;Completed;Paid;"1-10002";30;6
03805/2024;110;19/07/2024;4;PJB;0;650249,1;Completed;Paid;"1-10002";30;5
2407487;111;17/07/2024;2;BGI;0;958650;Completed;Paid;"1-10002";60;1
2407494;112;18/07/2024;2;BGI;0;1155000;Completed;Paid;"1-10002";60;1
2407428;113;18/07/2024;2;BGI;0;2686000;Completed;Paid;"1-10002";60;5
2407545;114;18/07/2024;2;BGI;0;2427150;Completed;Paid;"1-10002";60;2
2407638;115;22/07/2024;2;BGI;0;3658600;Completed;Paid;"1-10002";60;2
2407597;116;22/07/2024;2;BGI;0;1349700;Completed;Paid;"1-10002";60;3
2407664;117;23/07/2024;2;BGI;0;759000;Completed;Paid;"1-10002";60;1
2407682;118;23/07/2024;2;BGI;0;3950100;Completed;Paid;"1-10002";60;5
SI2024E000255;119;30/05/2024;1;MJD;0;4262400;Completed;Paid;"1-10002";0;4
2407820;120;26/07/2024;2;BGI;0;791450;Completed;Paid;"1-10002";60;1
M202407065;121;26/07/2024;2;BGI;0;2640000;Completed;Paid;"1-10002";0;80
2407830;122;29/07/2024;2;BGI;0;659450;Completed;Paid;"1-10002";60;1
03988/2024;123;30/07/2024;4;PJB;0;1789247,8;Completed;Paid;"1-10002";30;10
2407821;124;29/07/2024;2;BGI;0;2728000;Completed;Paid;"1-10002";60;2
LLGAKB-300724;125;30/07/2024;11;AKB;0;1842000;Completed;Unpaid;-;0;1
2407916;126;31/07/2024;2;BGI;0;1010900;Completed;Paid;"1-10002";60;2
04089/2024;127;02/08/2024;4;PJB;0;1032000;Completed;Paid;"1-10002";30;3
SI2024G000274;128;31/07/2024;1;MJD;0;8986560;Completed;Paid;"1-10002";0;20
2408088;129;02/08/2024;2;BGI;0;2464000;Completed;Paid;"1-10002";60;2
2408102;130;05/08/2024;2;BGI;0;737000;Completed;Paid;"1-10002";60;1
SMM-070824;131;07/08/2024;13;SMM;0;350000;Completed;Paid;"1-10002";0;1
SMM-030724;132;03/07/2024;13;SMM;0;90000;Completed;Paid;"1-10002";0;1
2408262;133;08/08/2024;2;BGI;0;680900;Completed;Paid;"1-10002";60;1
SJ001038;134;09/08/2024;3;RJG;0;5867857,8;Completed;Unpaid;-;60;6
BYO-100724;135;10/08/2024;8;BYO;0;2430000;Completed;Paid;"1-10002";0;62
34141;136;13/08/2024;9;ULM;0;388000;Completed;Paid;"1-10002";0;1
2408341;137;12/08/2024;2;BGI;0;1478950;Completed;Unpaid;-;60;1
2408400;138;13/08/2024;2;BGI;0;8396550;Completed;Unpaid;-;60;13
2408408;139;13/08/2024;2;BGI;0;1704500;Completed;Unpaid;-;60;4
2408444;140;13/08/2024;2;BGI;0;1020800;Completed;Unpaid;-;60;4
2408491;141;15/08/2024;2;BGI;0;2534950;Completed;Unpaid;-;60;3
2408511;142;15/08/2024;2;BGI;0;973500;Completed;Unpaid;-;60;2
2408564;143;19/08/2024;2;BGI;0;3970000;Completed;Unpaid;-;60;8
SJ001033;144;13/08/2024;3;RJG;0;5410000;Completed;Unpaid;-;60;6
SI2024H000142;145;16/08/2024;1;MJD;0;1527185;Completed;Paid;"1-10002";0;3
2408603;146;20/08/2024;2;BGI;0;9385000;Completed;Unpaid;-;60;10
2408494;147;15/08/2024;2;BGI;0;343200;Completed;Unpaid;-;60;3
2408649;148;21/08/2024;2;BGI;0;7013050;Completed;Unpaid;-;60;11
2408687;149;22/08/2024;2;BGI;0;1361800;Completed;Unpaid;-;60;2
SI2024H000195;150;22/08/2024;1;MJD;0;1700000;Completed;Paid;"1-10002";0;2
SJ001032;151;23/08/2024;3;RJG;0;2793820;Completed;Unpaid;-;60;5
2408710;152;22/08/2024;2;BGI;0;3987200;Completed;Unpaid;-;60;7
2408719;153;23/08/2024;2;BGI;0;799150;Completed;Unpaid;-;60;1
2408749;154;23/08/2024;2;BGI;0;1201200;Completed;Unpaid;-;60;2
2408787;155;26/08/2024;2;BGI;0;2145000;Completed;Unpaid;-;60;2
2408826;156;27/08/2024;2;BGI;0;6779850;Completed;Unpaid;-;60;7
2408918;157;29/08/2024;2;BGI;0;546150;Completed;Unpaid;-;60;1
2408959;159;30/08/2024;2;BGI;0;1700000;Completed;Unpaid;-;60;2
SJ000983;160;21/05/2024;3;RJG;0;960000;Completed;Paid;"1-10002";60;1
